SourceYear,borough_district,language,ProgramRows
2020-2021,Queens-27,Spanish,7
2020-2021,Queens-27,Bengali,1
2020-2021,Queens-28,Spanish,6
2020-2021,Queens-28,Bengali,1
2020-2021,Queens-29,Spanish,2
2020-2021,Queens-30,Spanish,32
2020-2021,Queens-30,Chinese,1
2020-2021,Queens-75,Spanish,1
2020-2021,Queens-79,Spanish,1
2020-2021,Staten Island-31,Spanish,13
2021-2022,Bronx-07,Spanish,17
2021-2022,Bronx-08,Spanish,5
2021-2022,Bronx-09,Spanish,32
2021-2022,Bronx-10,Spanish,48
2021-2022,Bronx-11,Spanish,3
2021-2022,Bronx-11,Bengali,1
2021-2022,Bronx-12,Spanish,13
2021-2022,Bronx-75,Spanish,15
2021-2022,Brooklyn-13,Spanish,5
2021-2022,Brooklyn-13,French,4
2021-2022,Brooklyn-14,Spanish,17
2021-2022,Brooklyn-14,French,2
2021-2022,Brooklyn-14,Yiddish,2
2021-2022,Brooklyn-14,Chinese,1
2021-2022,Brooklyn-14,Italian,1
2021-2022,Brooklyn-14,Japanese,1
2021-2022,Brooklyn-14,Polish,1
2021-2022,Brooklyn-15,Spanish,17
2021-2022,Brooklyn-15,Chinese,5
2021-2022,Brooklyn-15,French,3
2021-2022,Brooklyn-15,Arabic,1
2021-2022,Brooklyn-16,Spanish,2
2021-2022,Brooklyn-16,French,1
2021-2022,Brooklyn-17,Spanish,5
2021-2022,Brooklyn-17,Haitian Creole,3
2021-2022,Brooklyn-19,Spanish,13
2021-2022,Brooklyn-19,Bengali,2
2021-2022,Brooklyn-20,Chinese,15
2021-2022,Brooklyn-20,Spanish,7
2021-2022,Brooklyn-20,Arabic,3
2021-2022,Brooklyn-20,Russian,2
2021-2022,Brooklyn-20,Italian,1
2021-2022,Brooklyn-21,Chinese,5
2021-2022,Brooklyn-21,Spanish,4
2021-2022,Brooklyn-21,Russian,1
2021-2022,Brooklyn-22,Russian,1
2021-2022,Brooklyn-22,Spanish,1
2021-2022,Brooklyn-32,Spanish,20
2021-2022,Brooklyn-75,Spanish,6
2021-2022,Brooklyn-75,Yiddish,4
2021-2022,Brooklyn-75,Chinese,3
2021-2022,Manhattan-01,Chinese,5
2021-2022,Manhattan-01,Spanish,4
2021-2022,Manhattan-02,Chinese,8
2021-2022,Manhattan-02,Spanish,3
2021-2022,Manhattan-03,Spanish,10
2021-2022,Manhattan-03,French,2
2021-2022,Manhattan-03,Italian,1
2021-2022,Manhattan-03,Russian,1
2021-2022,Manhattan-04,Spanish,13
2021-2022,Manhattan-05,Spanish,3
2021-2022,Manhattan-06,Spanish,57
2021-2022,Manhattan-75,Spanish,2
2021-2022,Manhattan-79,Spanish,1
2021-2022,Queens-24,Spanish,38
2021-2022,Queens-24,Chinese,3
2021-2022,Queens-24,Polish,2
2021-2022,Queens-25,Chinese,20
2021-2022,Queens-25,Spanish,5
2021-2022,Queens-25,Korean,1
2021-2022,Queens-26,Chinese,3
2021-2022,Queens-27,Spanish,8
2021-2022,Queens-27,Bengali,1
2021-2022,Queens-28,Spanish,4
2021-2022,Queens-28,Bengali,1
2021-2022,Queens-29,Spanish,2
2021-2022,Queens-30,Spanish,30
2021-2022,Queens-75,Spanish,2
2021-2022,Queens-79,Spanish,1
2021-2022,Staten Island-31,Spanish,14
2022-2023,Bronx-07,Spanish,18
2022-2023,Bronx-08,Spanish,5
2022-2023,Bronx-09,Spanish,34
2022-2023,Bronx-10,Spanish,48
2022-2023,Bronx-11,Spanish,3
2022-2023,Bronx-11,Bengali,1
2022-2023,Bronx-12,Spanish,13
2022-2023,Bronx-75,Spanish,15
2022-2023,Brooklyn-13,Spanish,5
2022-2023,Brooklyn-13,French,4
2022-2023,Brooklyn-14,Spanish,17
2022-2023,Brooklyn-14,Yiddish,2
2022-2023,Brooklyn-14,Chinese,1
2022-2023,Brooklyn-14,French,1
2022-2023,Brooklyn-14,Italian,1
2022-2023,Brooklyn-14,Japanese,1
2022-2023,Brooklyn-14,Polish,1
2022-2023,Brooklyn-15,Spanish,19
2022-2023,Brooklyn-15,Chinese,5
2022-2023,Brooklyn-15,French,3
2022-2023,Brooklyn-15,Arabic,1
2022-2023,Brooklyn-16,Spanish,3
2022-2023,Brooklyn-16,French,1
2022-2023,Brooklyn-17,Spanish,5
2022-2023,Brooklyn-17,Haitian Creole,3
2022-2023,Brooklyn-18,Haitian Creole,1
2022-2023,Brooklyn-19,Spanish,13
2022-2023,Brooklyn-19,Bengali,2
2022-2023,Brooklyn-20,Chinese,15
2022-2023,Brooklyn-20,Spanish,7
2022-2023,Brooklyn-20,Arabic,2
2022-2023,Brooklyn-20,Russian,2
2022-2023,Brooklyn-20,Italian,1
2022-2023,Brooklyn-21,Chinese,5
2022-2023,Brooklyn-21,Spanish,5
2022-2023,Brooklyn-21,Russian,1
2022-2023,Brooklyn-22,Spanish,2
2022-2023,Brooklyn-22,Russian,1
2022-2023,Brooklyn-23,Spanish,1
2022-2023,Brooklyn-32,Spanish,23
2022-2023,Brooklyn-75,Spanish,5
2022-2023,Brooklyn-75,Chinese,3
2022-2023,Brooklyn-75,Yiddish,2
2022-2023,Manhattan-01,Chinese,5
2022-2023,Manhattan-01,Spanish,3
2022-2023,Manhattan-02,Chinese,7
2022-2023,Manhattan-02,Spanish,4
2022-2023,Manhattan-03,Spanish,10
2022-2023,Manhattan-03,French,2
2022-2023,Manhattan-03,Italian,2
2022-2023,Manhattan-03,Russian,1
2022-2023,Manhattan-04,Spanish,13
2022-2023,Manhattan-05,Spanish,3
2022-2023,Manhattan-06,Spanish,55
2022-2023,Manhattan-75,Spanish,2
2022-2023,Manhattan-79,Spanish,1
2022-2023,Queens-24,Spanish,41
2022-2023,Queens-24,Chinese,3
2022-2023,Queens-24,Polish,2
2022-2023,Queens-25,Chinese,21
2022-2023,Queens-25,Spanish,10
2022-2023,Queens-25,Korean,1
2022-2023,Queens-26,Chinese,3
2022-2023,Queens-27,Spanish,8
2022-2023,Queens-27,Bengali,1
2022-2023,Queens-28,Spanish,4
2022-2023,Queens-28,Bengali,1
2022-2023,Queens-29,Spanish,1
2022-2023,Queens-30,Spanish,32
2022-2023,Queens-75,Spanish,4
2022-2023,Queens-75,Chinese,1
2022-2023,Queens-79,Spanish,1
2022-2023,Staten Island-31,Spanish,14
2023-2024,Bronx-07,Spanish,18
2023-2024,Bronx-08,Spanish,8
2023-2024,Bronx-09,Spanish,34
2023-2024,Bronx-10,Spanish,45
2023-2024,Bronx-11,Bengali,1
2023-2024,Bronx-11,Spanish,1
2023-2024,Bronx-12,Spanish,13
2023-2024,Bronx-75,Spanish,12
2023-2024,Brooklyn-13,Spanish,6
2023-2024,Brooklyn-13,French,3
2023-2024,Brooklyn-14,Spanish,15
2023-2024,Brooklyn-14,Yiddish,2
2023-2024,Brooklyn-14,Chinese,1
2023-2024,Brooklyn-14,French,1
2023-2024,Brooklyn-14,Italian,1
2023-2024,Brooklyn-14,Polish,1
2023-2024,Brooklyn-15,Spanish,20
2023-2024,Brooklyn-15,Chinese,6
2023-2024,Brooklyn-15,French,2
2023-2024,Brooklyn-16,Spanish,2
2023-2024,Brooklyn-16,French,1
2023-2024,Brooklyn-17,Spanish,7
2023-2024,Brooklyn-17,Haitian Creole,3
2023-2024,Brooklyn-18,Haitian Creole,1
2023-2024,Brooklyn-19,Spanish,13
2023-2024,Brooklyn-19,Bengali,2
2023-2024,Brooklyn-20,Chinese,16
2023-2024,Brooklyn-20,Spanish,9
2023-2024,Brooklyn-20,Arabic,2
2023-2024,Brooklyn-20,Italian,2
2023-2024,Brooklyn-20,Russian,1
2023-2024,Brooklyn-21,Chinese,5
2023-2024,Brooklyn-21,Spanish,5
2023-2024,Brooklyn-21,Russian,2
2023-2024,Brooklyn-22,Russian,2
2023-2024,Brooklyn-22,Spanish,2
2023-2024,Brooklyn-23,Spanish,1
2023-2024,Brooklyn-32,Spanish,21
2023-2024,Brooklyn-75,Spanish,5
2023-2024,Brooklyn-75,Chinese,2
2023-2024,Brooklyn-75,Yiddish,2
2023-2024,Manhattan-01,Chinese,5
2023-2024,Manhattan-01,Spanish,3
2023-2024,Manhattan-02,Chinese,6
